Plate  MJD    Fib   z        
-----  -----  ----  ---------
  300  51666   472   4.29072
#  305  51613   336   3.78785
  306  51690     6   2.049340
  306  51690    21   0.914390
  306  51690    24   0.325310
  306  51690    76   0.967830
  306  51690   107   0.857100
  306  51690   110   1.554200
  306  51690   111   1.176780
  306  51690   127   0.658140
  306  51690   128   2.08429 
  306  51690   129   1.027010
  306  51690   133   0.362170
  306  51690   134   1.328550
  306  51690   135   1.18742 
  306  51690   165   1.824610
#  306  51690   170   2.065340  Bad flat on this fiber
#  306  51690   171   0.508870  Bad flat on this fiber
  306  51690   189   1.29548 
  306  51690   191   1.346530
  306  51690   211   2.199690
  306  51690   213   0.333270
  306  51690   225   2.533330
  306  51690   229   0.207510
  306  51690   245   0.80894 
  306  51690   246   0.605160
  306  51690   258   1.499960
  306  51690   260   0.317570
  306  51690   265   0.354730
  306  51690   266   0.810630
  306  51690   279   1.556040
  306  51690   280   0.13661 
  306  51690   297   0.809110
  306  51690   302   0.628290
  306  51690   307   1.147730
  306  51690   308   2.639930
  306  51690   311   0.753320
  306  51690   433   1.264080
  306  51690   437   1.995200
  306  51690   447   1.090920
  306  51690   460   0.409840
  306  51690   478   1.077300
  306  51690   482   1.947470
  306  51690   519   1.715720
  306  51690   524   2.759560
  306  51690   531   1.17586 
  306  51690   544   0.935720
  306  51690   558   2.736700
  306  51690   601   2.19762 
  306  51690   628   1.266870
  306  51690   629   1.86939 
